Date,Open,High,Low,Close,Volume
2018-09-26,6.65446,6.69492,6.59677,6.61273,270997380
2018-09-27,6.64767,6.66895,6.59307,6.6245,216384802
2018-09-28,6.75691,6.98387,6.72887,6.96172,715868179
2018-10-01,7.04009,7.2356,7.00116,7.1685,627732943
2018-10-02,7.14114,7.25306,7.07535,7.09721,387467542
2018-10-03,7.1675,7.1751,6.99946,7.1034,323475006
2018-10-04,7.06756,7.09142,6.84249,6.91867,394788512
2018-10-05,6.8941,6.95622,6.628,6.68542,430526482
2018-10-08,6.60237,6.71788,6.44289,6.58408,412338186
2018-10-09,6.5638,6.65826,6.51047,6.57859,275994757
2018-10-10,6.47204,6.51816,6.08471,6.08691,691186617
2018-10-11,5.99966,6.13355,5.80352,5.82512,732055092
2018-10-12,6.08252,6.18217,5.93703,6.10819,613785358
2018-10-15,6.0947,6.0947,5.83032,5.83132,453864251
2018-10-16,5.94402,6.1017,5.8951,6.0905,412440328
2018-10-17,6.1525,6.19057,5.97268,6.02183,332675467
2018-10-18,6.0912,6.12976,5.87404,5.93403,528802400
2018-10-19,5.98937,6.00904,5.6408,5.67702,619207688
2018-10-22,5.72967,5.82982,5.62512,5.72827,372208492
2018-10-23,5.46073,5.554,5.36909,5.47642,632152580
2018-10-24,5.43788,5.48472,4.92605,4.93973,892354962
2018-10-25,4.84238,5.19644,4.79802,5.14953,960403794
2018-10-26,4.91248,5.07502,4.78438,4.91208,670849699
2018-10-29,5.05386,5.05736,4.3607,4.59863,764932759
2018-10-30,4.62179,5.03907,4.59863,5.0291,814554428
2018-10-31,5.19385,5.26674,5.05436,5.22309,752575573
2018-11-01,5.25957,5.41312,5.13325,5.40364,571696544
2018-11-02,5.39437,5.4997,5.20762,5.32485,457092222
2018-11-05,5.31157,5.33482,5.0858,5.24638,382790913
2018-11-06,5.23838,5.32315,5.19185,5.22878,301738142
2018-11-07,5.29569,5.38637,5.23158,5.29668,488225689
2018-11-08,5.23708,5.23778,5.04987,5.10357,516017757
2018-11-09,5.01412,5.18585,4.98036,5.09558,417011831
