date,avg_sentiment_score,model_type
2017-06-11,0.014027696078431372,FinBERT+VADER
2017-06-12,0.019626151189562548,FinBERT+VADER
2017-06-13,0.008066367737676057,FinBERT+VADER
2017-06-14,0.013041670719844358,FinBERT+VADER
2017-06-15,0.022810386740331492,FinBERT+VADER
2017-06-16,0.01390406976744186,FinBERT+VADER
2017-06-17,0.05670411184210527,FinBERT+VADER
2017-06-18,0.09146275,FinBERT+VADER
2017-06-19,0.031270073341836735,FinBERT+VADER
2017-06-20,0.02490089426100629,FinBERT+VADER
2017-06-21,0.02648543244949495,FinBERT+VADER
2017-06-22,0.011592037366548043,FinBERT+VADER
2017-06-23,0.015130264857881137,FinBERT+VADER
2017-06-24,-0.012822149122807018,FinBERT+VADER
2017-06-25,-0.032241875,FinBERT+VADER
2017-06-26,-0.0053794912060301505,FinBERT+VADER
2017-06-27,0.002623563596491228,FinBERT+VADER
2017-06-28,0.019251744791666667,FinBERT+VADER
2017-06-29,0.02563072216890595,FinBERT+VADER
2017-06-30,0.01796317857142857,FinBERT+VADER
2017-07-01,0.09119223484848485,FinBERT+VADER
2017-07-02,-0.004958695652173913,FinBERT+VADER
2017-07-03,0.007258478682170542,FinBERT+VADER
2017-07-04,0.052655921052631574,FinBERT+VADER
2017-07-05,0.019833412098298676,FinBERT+VADER
2017-07-06,0.02801046173044925,FinBERT+VADER
2017-07-07,0.011156001655629138,FinBERT+VADER
2017-07-08,0.04895227272727273,FinBERT+VADER
2017-07-09,0.009588020833333334,FinBERT+VADER
2017-07-10,0.03472907006048387,FinBERT+VADER
2017-07-11,0.02372024278215223,FinBERT+VADER
2017-07-12,0.030291859725050916,FinBERT+VADER
2017-07-13,0.015229466841603053,FinBERT+VADER
2017-07-14,0.015917872807017543,FinBERT+VADER
2017-07-15,0.053911865942028986,FinBERT+VADER
2017-07-16,0.09039486111111111,FinBERT+VADER
2017-07-17,-0.0019989390432098766,FinBERT+VADER
2017-07-18,0.015857275056947607,FinBERT+VADER
2017-07-19,0.00848382701421801,FinBERT+VADER
2017-07-20,-0.0005685364906832299,FinBERT+VADER
2017-07-21,-0.000274293059125964,FinBERT+VADER
2017-07-22,0.030783783783783783,FinBERT+VADER
2017-07-23,-0.03264784482758621,FinBERT+VADER
2017-07-24,0.01817734872611465,FinBERT+VADER
2017-07-25,0.03749436649659864,FinBERT+VADER
2017-07-26,0.020983640438247013,FinBERT+VADER
