date,avg_sentiment_score
2018-07-15,0.0
2018-07-16,0.0
2018-07-17,0.23076923076923078
2018-07-18,0.3333333333333333
2018-07-19,0.3
2018-07-20,0.25
2018-07-21,0.5
2018-07-22,0.0
2018-07-23,0.09090909090909091
2018-07-24,0.13043478260869565
2018-07-25,0.05
2018-07-26,0.34782608695652173
2018-07-27,0.14285714285714285
2018-07-28,0.3333333333333333
2018-07-29,0.0
2018-07-30,0.09523809523809523
2018-07-31,0.125
2018-08-01,0.1
2018-08-02,0.23076923076923078
2018-08-03,0.16666666666666666
2018-08-04,0.6666666666666666
2018-08-05,1.0
2018-08-06,0.08333333333333333
2018-08-07,0.21052631578947367
2018-08-08,0.06666666666666667
2018-08-09,0.0
2018-08-10,0.14285714285714285
2018-08-11,-0.16666666666666666
2018-08-12,0.0
